CASE_NO,DECISION_DATE,NPC_SUBMITTED_DATE,CASE_STATUS,VISA_CLASS,ALIEN_WORK_STATE,CERTIFICATION_BEGIN_DATE,CERTIFICATION_END_DATE,EMPLOYER_NAME,EMPLOYER_ADDRESS1,EMPLOYER_ADDRESS2,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,DOT_OCCUPATIONAL_CODE,DOT_NAME,SOC_CODE,SOC_NAME,JOB_TITLE,NBR_WORKERS_REQUESTED,NBR_WORKERS_CERTIFIED,PREVAILING_WAGE,PW_UNIT_OF_PAY,BASIC_RATE_OF_PAY,BASIC_UNIT_OF_PAY
C-10302-51409,4-Nov-10,29-Oct-10,CERTIFIED,H-2B,CA,1-Feb-11,15-Nov-11,KASTL AMUSEMENTS,23905 CLINTON KEITH # 114-520,,WILDOMAR,CA,92595,JAMES KENDRICK JUDKINS,RIO HONDO,TX,341.367-010,Recreation-Facility Attendant,393091,Amusement and Recreation Attendants,RECREATION FACILITY ATTENDANT,19,19,8.62,HR,353.6,HR
C-11103-54724,15-Apr-11,13-Apr-11,CERTIFIED,H-2B,CA,31-May-11,31-Oct-11,ST. REGIS MONARCH BEACH,ONE MONARCH BEACH,,DANA POINT,CA,92629,,,,310.137-022,"Steward/Stewardess, Banquet",351012,First-Line Supervisors/Managers of Food Preparation and Serving Workers,"STEWARD/STEWARDESS, BANQUET",17,17,8.75,HR,8.75,HR
C-11066-54343,18-Mar-11,7-Mar-11,CERTIFIED,H-2B,CA,1-Mar-11,31-Oct-11,XARA SPORTSWEAR USA INC.,26832 VISTA TERRACE,,LAKE FOREST,CA,92630,MARC M YELNICK,SOUTH SAN FRANCISCO,CA,153.227-010,"Coach, Professional Athletes",272022,Coaches and Scouts,"COACH, PROFESSIONAL ATHLETES",10,10,20,HR,20,HR
C-11066-54341,18-Mar-11,7-Mar-11,CERTIFIED,H-2B,CA,1-Mar-11,31-Oct-11,XARA SPORTSWEAR USA INC.,26832 VISTA TERRACE,,LAKE FOREST,CA,92630,MARC M YELNICK,SOUTH SAN FRANCISCO,CA,153.227-010,"Coach, Professional Athletes",272022,Coaches and Scouts,"COACH, PROFESSIONAL ATHLETES",10,10,21,HR,21,HR
C-10314-51638,29-Nov-10,10-Nov-10,CERTIFIED,H-2B,LA,1-Oct-10,31-May-11,MICHAEL STIDHAM RACING STABLE,28202 PALMADA,,MISSION VIEJO,CA,92692,CRAIG D MCDOUGAL,NORMAN,OK,410.674-010,Animal Caretaker,392021,Nonfarm Animal Caretakers,ANIMAL CARETAKER,9,9,7.88,HR,7.88,HR
C-11140-54935,23-May-11,20-May-11,CERTIFIED,H-2B,DE,1-Apr-11,1-Dec-11,MICHAEL STIDHAM RACING STABLE,28202 PALMADA,,MISSION VIEJO,CA,92692,CRAIG MCDOUGAL,NORMAN,OK,410.674-010,Animal Caretaker,392021,Nonfarm Animal Caretakers,ANIMAL CARETAKER,4,4,8.29,HR,8.29,HR
C-11213-55333,1-Sep-11,1-Aug-11,DENIED,H-2B,CA,15-Jul-11,15-Aug-11,"MARIACHI WEB HOSTING, INC DBA PROMOGATOR.COM",11088 TRASK AVE. #100,,GARDEN GROVE,CA,92841,,,,030.062-010,Software Engineer,151032,"Computer Software Engineers, Systems Software",SOFTWARE ENGINEER,1,0,19,HR,19,HR
C-10343-52211,20-Dec-10,9-Dec-10,CERTIFIED,H-2B,CA,1-Mar-11,30-Nov-11,GUADAGNO AND SONS AMUSEMENTS DBA G & S SHOWS,"12842 VALLEY VIEW ST., #103",,GARDEN GROVE,CA,92845,"JAMES KENDRICK JUDKINS/ JKJ WORKFORCE AGENCY, INC",RIO HONDO,TX,349.664-010,Amusement Park Worker,393091,Amusement and Recreation Attendants,AMUSEMENT PARK WORKER,30,30,358.4,WK,358.4,WK
C-11012-53336,19-Jan-11,12-Jan-11,CERTIFIED,H-2B,CA,1-Apr-11,30-Oct-11,"CRUTCHEE-S, INC.",24124 NOBE STREET,,CORONA,CA,92883,JAMES KENDRICK JUDKINS,RIO HONDO,TX,349.664-010,Amusement Park Worker,393091,Amusement and Recreation Attendants,AMUSEMENT PARK WORKER,14,14,354.4,HR,354.4,HR
C-10274-51120,27-Oct-10,1-Oct-10,DENIED,H-2B,CA,30-Oct-10,30-Jun-11,NANCY DEWI,998 CHURCH ST 35,,VENTURA,CA,93001,,,,323.687-014,"Cleaner, Housekeeping",372012,Maids and Housekeeping Cleaners,"CLEANER, HOUSEKEEPING",1,0,,,,
